id,group,du_health,du_heafood,du_hou_tsa,du_pollu,du_hou_bik
ID 161,Group 1,82,475,475,4,0
ID 162,Group 2,380,390,390,0,0
ID 163,Group 3,588,491,704,303,7
ID 164,Group 1,0,0,0,2,294
ID 165,Group 2,119,247,416,58,485
ID 166,Group 3,33,49,102,0,458
ID 167,Group 1,0,0,0,70,553
ID 168,Group 2,0,17,13,0,456
ID 169,Group 3,0,123,13,0,44
ID 170,Group 1,0,1255,1026,0,377
ID 171,Group 1,196,240,291,0,22
ID 172,Group 2,50,263,393,0,78
ID 173,Group 3,205,391,403,0,323
ID 239,Group 4,0,256,256,0,256
ID 174,Group 1,0,318,741,0,0
ID 175,Group 2,0,448,668,0,0
ID 176,Group 1,0,212,101,0,0
ID 177,Group 2,0,233,251,0,0
ID 178,Group 1,18,651,64,0,336
ID 179,Group 2,0,524,509,0,357
ID 180,Group 3,0,266,199,0,281
ID 181,Group 1,57,605,0,207,621
ID 182,Group 2,0,281,21,38,351
ID 183,Group 1,0,150,9,0,0
ID 184,Group 2,0,15,0,0,0
ID 185,Group 3,0,5,0,0,0
ID 210,Group 1,0,555,0,0,0
ID 186,Group 4,0,4,7,0,0
ID 187,Group 1,593,593,593,0,205
ID 188,Group 2,385,464,532,0,0
ID 189,Group 3,68,297,372,0,158
ID 211,Group 2,0,237,0,0,0
ID 190,Group 1,0,344,416,0,0
ID 191,Group 2,0,466,579,0,10
ID 192,Group 3,0,65,204,0,8
ID 193,Group 1,0,4,734,0,0
ID 194,Group 2,10,239,26,0,77
ID 195,Group 1,0,22,694,0,0
ID 196,Group 1,0,578,578,0,0
ID 197,Group 2,0,201,233,0,0
ID 198,Group 3,0,554,325,0,0
ID 199,Group 1,0,281,9,0,14
ID 200,Group 2,0,276,49,0,111
ID 201,Group 3,0,726,0,0,0
ID 202,Group 4,0,229,0,0,0
ID 203,Group 1,0,540,31,0,356
ID 204,Group 2,0,483,123,135,444
ID 205,Group 1,0,157,109,12,638
ID 206,Group 2,0,0,393,169,462
ID 207,Group 1,0,188,0,237,633
ID 208,Group 2,0,0,0,299,37
ID 209,Group 3,0,98,0,364,122
ID 214,Group 5,0,587,0,237,0
ID 215,Group 1,0,724,10,0,0
ID 216,Group 2,0,424,0,266,0
ID 217,Group 3,0,347,0,100,0
ID 218,Group 1,0,575,0,0,12
ID 219,Group 2,0,239,0,0,0
ID 220,Group 1,0,9,0,209,20
ID 221,Group 2,0,120,0,26,69
ID 222,Group 1,0,86,100,123,0
ID 238,Group 3,0,240,240,111,240
ID 223,Group 2,0,111,104,0,0
ID 224,Group 3,0,4,0,7,0
ID 225,Group 1,0,535,154,350,537
ID 226,Group 2,0,562,423,235,371
ID 227,Group 1,0,448,452,97,366
ID 228,Group 2,0,407,490,78,76
ID 229,Group 1,825,1028,1028,168,643
ID 230,Group 2,173,223,223,32,65
ID 231,Group 3,156,662,662,122,624
ID 232,Group 4,226,480,480,157,480
ID 233,Group 5,174,212,212,39,212
ID 234,Group 1,552,915,915,215,855
ID 235,Group 2,5,288,288,0,252
ID 236,Group 1,0,400,560,0,0
ID 237,Group 2,0,272,329,290,0
ID 240,Group 5,0,345,496,0,158
ID 241,Group 1,0,291,293,222,293
ID 242,Group 2,0,471,471,91,471
ID 243,Group 3,0,275,275,102,275
ID 1485,Group 3,0,39,0,169,0
ID 244,Group 1,70,483,484,19,479
ID 245,Group 2,0,648,648,284,648
ID 246,Group 1,11,512,512,0,492
ID 247,Group 2,107,276,276,146,270
ID 248,Group 3,0,287,301,234,258
ID 249,Group 1,160,249,249,152,250
ID 250,Group 2,0,513,513,0,513
ID 251,Group 3,20,456,456,0,456
ID 252,Group 1,0,193,193,0,193
ID 253,Group 2,0,185,185,152,185
ID 264,Group 1,277,277,277,0,277
ID 254,Group 3,0,390,390,194,390
ID 255,Group 1,129,357,357,0,357
ID 256,Group 2,0,390,389,0,390
ID 257,Group 1,179,392,392,163,392
ID 258,Group 2,291,291,291,0,291
ID 259,Group 3,381,381,381,23,381
ID 260,Group 1,0,0,0,0,0
ID 261,Group 1,274,274,274,145,273
ID 262,Group 2,317,339,339,0,339
ID 263,Group 3,390,390,390,0,390
ID 265,Group 2,380,380,380,191,380
ID 266,Group 3,129,337,337,337,337
ID 267,Group 4,199,233,233,53,233
ID 268,Group 1,71,351,351,91,139
ID 269,Group 2,227,252,252,0,252
ID 270,Group 3,54,290,290,0,227
ID 271,Group 4,217,298,298,0,282
ID 272,Group 1,0,406,406,0,0
ID 273,Group 2,1,787,787,356,0
ID 274,Group 3,0,735,735,439,0
ID 275,Group 1,0,1082,503,504,53
ID 276,Group 2,0,354,354,0,0
ID 277,Group 3,31,781,547,10,7
ID 278,Group 1,622,746,746,0,0
ID 279,Group 2,0,231,231,0,0
ID 280,Group 3,178,530,543,0,0
ID 281,Group 4,330,330,330,0,15
ID 282,Group 1,0,651,651,0,0
ID 283,Group 2,0,463,463,0,0
ID 1724,Group 2,0,0,0,0,0
ID 284,Group 3,0,304,304,0,0
ID 285,Group 4,0,418,418,0,0
ID 286,Group 1,14,760,760,0,0
ID 287,Group 2,83,360,360,0,0
ID 288,Group 3,82,287,287,0,0
ID 289,Group 1,229,229,229,229,51
ID 290,Group 2,30,179,179,82,0
ID 291,Group 3,336,399,399,296,29
ID 292,Group 1,708,835,835,284,362
ID 293,Group 2,306,306,306,306,306
ID 294,Group 1,334,334,334,179,334
ID 1725,Group 1,0,0,0,0,0
ID 295,Group 2,426,426,426,182,426
ID 296,Group 1,283,283,283,0,107
ID 297,Group 2,180,180,180,0,180
ID 298,Group 3,191,191,191,0,191
ID 299,Group 4,490,490,490,0,481
ID 300,Group 1,310,340,340,0,340
ID 301,Group 2,91,409,409,216,409
ID 302,Group 3,134,134,134,99,134
ID 303,Group 4,327,329,329,103,329
ID 304,Group 5,152,152,152,31,152
ID 305,Group 1,47,196,196,92,196
ID 1726,Group 2,0,180,0,0,0
ID 306,Group 2,0,0,0,0,0
ID 307,Group 3,296,296,296,242,296
ID 308,Group 4,83,83,83,64,83
