col,var,stfid,fipsstco,tract,group,ct_bg_id,area_sqft,area_sqmi,area_acres,int_densit,rfa,mix_fl_3,nrd_06_upd,wlk_ind_06,walk_index,num_hous_h,tot_pop,urban_bg,fast_fd_ct,grocery_ct,fast_f_den,ff_dens_ac,ff_den_100,grocer_den,library_p,child_care,chld_cr_ct,park_count,elem_sch_p,bus_stop_p,lrt_cr_stp,bus_stp_ct,bus_sp_den,park_prese,park_inter,p_acreage,pk_acr_den,pk_den1000,hospital_p,du_tot2010,du_res_day,du_res_lib,du_res_par,du_res_gro,du_res_fas,du_res_ele,du_health,du_heafood,du_hou_tsa,du_pollu,du_hou_bik,per_du_day,per_du_lib,per_du_par,per_du_gro,per_du_ff,per_du_ele,per_du_hea,per_duhfoo,per_du_tsa,per_du_pol,per_dubik2,ct_minori,ct_low_inc,ct_low_mob,ct_low_com,ct_concern,ct_ma_misc,ct_mali_yr,crim_mapop,ct_violnt5,ct_vio_yr2,crm_rt_vio,ped_inv_ct,ped_dayyr2,ped_c_rate,cyc_inv_ct,cyc_dayyr2,cyc_c_rate,daypoparea,daypop_per,day_pop_bg,daypop_1x3,totpop1000,res_pop_10,pop_den_10,pop_den_mi,pop_den_ac,arter_den,traf_volum,tot_par_ct,lot_sur_ct,lot_str_ct,pk_lot_ct,vacnt_ct,per_vacant,per_lot_su,per_lot_st,per_pk_lot,road_allft,rd_walk_ft,rd_walk_10,sidewk_ft2,sidewk_rdn,side_c_per,side_none,side_parti,side_atlas,cn_transit,cn_parks,cn_he_food,cn_trails,cn_daycare,cn_health,cn_library,cn_elem_sc,cs_tis,cs_ypas,cs_pai,cs_ped_saf,cs_cyc_saf,cs_tsfy,nu_cn_indi
V,fast_f_den,,,,,,-0.04474071,-0.04474071,-0.04474071,0.267430719,0.22144941,0.331056618,0.462748374,0.436022307,0.343098418,-0.017569823,-0.050907322,0.088272162,0.479725856,0.37165945,1,1,1,0.573467885,0.066900664,0.062904469,0.062717448,-0.052510667,-0.062811296,0.19228924,0.107975769,0.12547503,0.429437527,-0.058182266,-0.068794841,-0.04398024,-0.038973437,-0.038973437,0.019707398,-0.01465185,0.135315008,0.198107952,0.066234399,0.169099703,0.147980592,0.041696117,0.220703641,0.168025023,0.170063102,-0.014361867,0.114467978,0.209842723,0.205144153,0.13843441,0.268442225,0.280608053,0.084359898,0.242214386,0.260593543,0.214889231,-0.018518857,0.161233001,0.070913986,0.124180182,0.11614675,0.140753561,0.102620716,0.2375566,0.2375566,0.21434811,0.453520261,0.453520261,0.438369375,0.460522565,0.460522565,0.301115535,0.310234364,0.310234364,0.214184414,-0.044792112,-0.082273448,0.012029493,0.012029492,-0.050907322,-0.058945191,0.282175832,0.246512545,0.246512546,0.265469547,0.36230127,-0.16077132,0.280328215,0.229560111,0.292877123,-0.066848851,-0.041816041,0.275191001,0.299071273,0.290150865,-0.076945684,-0.078204916,-0.096702709,-0.061354362,0.156142393,0.156142428,-0.051372579,-0.088067443,0.095624532,0.206838792,0.10398989,0.224210731,0.15275112,0.168386012,0.234898757,0.175491936,0.078944498,0.237796745,0.195165405,-0.413811213,-0.346378524,-0.302463964,-0.211085373,0.275178126
W,ff_dens_ac,,,,,,-0.044740982,-0.044740982,-0.044740982,0.267430752,0.221449525,0.331056485,0.462748053,0.436022203,0.343098501,-0.017569753,-0.050907141,0.088272153,0.479725872,0.371659511,1,1,1,0.573467905,0.066900808,0.062904872,0.062717869,-0.05251043,-0.062811043,0.192289309,0.10797565,0.125474966,0.429437476,-0.058182105,-0.068794681,-0.043980273,-0.038973461,-0.038973462,0.019707017,-0.014651839,0.135315188,0.198108091,0.066234399,0.169099738,0.147980607,0.041696372,0.220703413,0.16802506,0.170062773,-0.01436208,0.114467881,0.209843027,0.205144237,0.138434431,0.268442412,0.280608176,0.084360271,0.242214244,0.26059371,0.214889156,-0.018518824,0.161233078,0.070914193,0.124180409,0.116146898,0.140753838,0.102620824,0.237556644,0.237556644,0.214347907,0.453520437,0.453520437,0.438369334,0.460522676,0.460522676,0.301115681,0.310234399,0.310234399,0.214184421,-0.044792383,-0.082273193,0.012029431,0.01202943,-0.050907141,-0.058945153,0.282175865,0.246512675,0.246512676,0.265469436,0.362301176,-0.160771148,0.280328095,0.229559979,0.292876992,-0.066848845,-0.041816049,0.275190782,0.299070993,0.290150629,-0.07694579,-0.078205014,-0.096702777,-0.061354199,0.156142531,0.156142567,-0.051372685,-0.088067534,0.095624478,0.20683867,0.103989953,0.224210825,0.152751259,0.168386344,0.234898636,0.17549203,0.07894472,0.237796807,0.195165626,-0.41381106,-0.346378436,-0.302463841,-0.211085227,0.275178272
X,ff_den_100,,,,,,-0.04474071,-0.044740709,-0.04474071,0.267430719,0.221449409,0.331056617,0.462748373,0.436022306,0.343098418,-0.017569824,-0.050907325,0.088272162,0.479725855,0.37165945,1,1,1,0.573467886,0.066900664,0.062904469,0.062717448,-0.052510667,-0.062811294,0.192289239,0.107975766,0.125475027,0.429437527,-0.058182265,-0.068794839,-0.043980239,-0.038973436,-0.038973436,0.019707398,-0.014651852,0.135315008,0.198107951,0.066234398,0.169099703,0.147980591,0.041696117,0.220703639,0.168025023,0.170063101,-0.014361869,0.114467977,0.209842723,0.205144153,0.138434411,0.268442226,0.280608054,0.084359898,0.242214384,0.260593545,0.21488923,-0.018518857,0.161233001,0.070913988,0.124180181,0.116146751,0.14075356,0.102620715,0.237556598,0.237556598,0.214348108,0.453520259,0.453520259,0.438369374,0.460522564,0.460522564,0.30111554,0.310234364,0.310234364,0.214184416,-0.044792112,-0.082273449,0.01202949,0.01202949,-0.050907325,-0.058945195,0.282175831,0.246512545,0.246512546,0.265469546,0.362301269,-0.16077132,0.280328213,0.22956011,0.29287712,-0.066848851,-0.041816041,0.275191,0.299071271,0.290150864,-0.076945686,-0.078204917,-0.096702709,-0.061354363,0.156142393,0.156142428,-0.051372578,-0.088067444,0.095624532,0.206838791,0.10398989,0.224210732,0.15275112,0.168386013,0.234898756,0.175491935,0.078944499,0.237796744,0.195165406,-0.413811211,-0.346378525,-0.302463963,-0.211085375,0.275178126
Y,grocer_den,,,,,,-0.049769697,-0.049769698,-0.049769697,0.366369523,0.267835354,0.252981928,0.348776393,0.422753696,0.419140109,-0.046097179,-0.049797855,0.097259277,0.22904606,0.607542378,0.573467885,0.573467905,0.573467886,1,0.064979234,0.070947663,0.072394443,-0.068351317,-0.065644971,0.178138082,0.035790137,0.07752886,0.422233224,-0.06837859,-0.093466409,-0.049869456,-0.043654941,-0.043654941,-0.005189449,-0.047199609,0.144579608,0.184951803,0.063708297,0.186636932,0.123486919,0.113121893,0.230186976,0.181802648,0.193210534,-0.001694691,0.100242968,0.273105551,0.228583933,0.190770743,0.356066085,0.294165452,0.202356034,0.286946124,0.345133415,0.291362314,0.03378708,0.188894508,0.159512328,0.291774353,0.132655543,0.239729987,0.148326806,0.173583947,0.173583947,0.154280649,0.335160406,0.335160406,0.312564561,0.390322572,0.390322572,0.369877769,0.232895331,0.232895331,0.242395993,-0.049867782,-0.094464904,-0.035096586,-0.035096587,-0.049797855,-0.084821364,0.393569844,0.38232882,0.38232882,0.150795323,0.214667946,-0.182309854,0.191828837,0.135160177,0.197379002,-0.071923979,-0.06010063,0.19817888,0.163545711,0.202842493,-0.090876917,-0.090546103,-0.114306521,-0.10167813,0.184469916,0.184469904,-0.055523994,-0.097325114,0.105369033,0.273168207,0.141003792,0.290146109,0.116604795,0.215749812,0.255011427,0.200215929,0.176643256,0.297002321,0.276993874,-0.258972101,-0.247249155,-0.186238352,-0.22358057,0.356291551
Z,library_p,,,,,,0.10067101,0.10067101,0.10067101,0.021443364,0.041105443,0.130732363,0.015088855,0.073469288,0.062177042,0.061427046,0.023402594,-0.054762214,0.146337602,0.157089011,0.066900664,0.066900808,0.066900664,0.064979234,1,0.118846677,0.137587819,0.082400347,0.072367732,0.034691386,0.032190581,0.07761916,0.058414048,0.107164538,0.080030798,0.127697333,0.101048552,0.101048552,-0.020279359,0.06812579,0.101415583,0.381152746,0.080582195,0.090222871,0.101283836,0.052080918,0.056245916,0.088523799,0.022154543,0.018623338,0.066623638,0.054223277,0.372052554,0.051665362,0.055405613,0.058117084,0.009964816,0.066753319,0.053298428,0.001873637,0.002255128,0.035870066,-0.009679883,-0.003744004,0.028319314,0.022964142,-0.020647597,0.09393204,0.09393204,0.058468653,0.119189977,0.119189977,0.094945624,0.120150542,0.120150542,0.035397979,0.086765535,0.086765535,0.038673871,0.100656119,0.015816321,0.026468768,0.026468767,0.023402594,0.027269421,-0.017430628,-0.043923727,-0.043923728,0.065890431,0.069250828,0.052718338,0.039277473,0.061502517,0.04509913,0.112503746,0.08463832,0.020805903,0.057876286,0.026093916,0.067156839,0.063462046,0.088510366,0.050120614,-0.030022064,-0.030022054,0.113155711,-0.010931602,-0.051843871,0.009490401,0.054129139,0.049545234,0.022111042,0.045659253,0.068516495,0.346859289,0.009215124,0.003530828,0.024454908,-0.121954078,-0.089724069,-0.061290087,-0.029045484,0.112737496
AA,child_care,,,,,,0.073290999,0.073290999,0.073290999,-0.022929797,0.030436362,0.123165394,-0.030137382,0.03538678,0.035965006,0.179242741,0.181958435,-0.025688162,0.15087938,0.1788773,0.062904469,0.062904872,0.062904469,0.070947663,0.118846677,1,0.852074367,0.130930185,0.29308682,0.157878066,-0.003598562,0.1765049,0.034978271,0.153169718,0.108805868,0.010393358,-0.011651989,-0.011651989,0.026665723,0.184290079,0.325703573,0.038573637,0.124715038,0.121531198,0.144085018,0.197765485,0.085940732,0.123814222,0.039622652,0.049749493,0.074234184,0.280848525,0.017518472,-0.011262428,0.027866758,0.040420779,0.104775886,0.056514869,0.027356451,-0.009667799,-0.012789352,-0.021187592,0.008848859,0.039608156,-0.01741607,0.047547132,-0.008890212,0.224838633,0.224838633,0.092358439,0.151463328,0.151463328,0.057498469,0.163171984,0.163171984,0.053082179,0.126378112,0.126378112,0.030174397,0.073069348,0.172770684,0.047788595,0.047788594,0.181958435,0.175972023,-0.0202335,-0.059633489,-0.059633489,0.103353566,0.152813723,0.169374146,0.050510697,0.062150488,0.055650898,0.058939802,0.018649171,0.003811917,0.03105191,0.007191224,0.10464628,0.100504947,0.10535752,0.18375402,-0.037783655,-0.037783678,0.012608756,0.019421423,-0.031919303,-0.014827533,-0.009771139,0.027250728,0.006073911,0.237207619,0.052356135,0.006193693,0.08297496,-0.030621307,0.012566021,-0.140885197,-0.15525337,-0.136617984,-0.091368914,0.075579526
AB,chld_cr_ct,,,,,,0.050219831,0.050219831,0.050219831,-0.025074068,0.025179987,0.144427728,-0.025703827,0.042588385,0.047646261,0.150051371,0.164608024,-0.013247661,0.22229621,0.221998614,0.062717448,0.062717869,0.062717448,0.072394443,0.137587819,0.852074367,1,0.129367104,0.288440924,0.173712628,-0.007185966,0.242607099,0.066887285,0.157725108,0.119724755,0.017118313,-0.004386702,-0.004386702,0.044487895,0.165451373,0.301227788,0.040182322,0.117750887,0.119920322,0.146825329,0.179900203,0.070952973,0.120844485,0.02069553,0.045784934,0.058365223,0.26317968,0.02422443,0.007307105,0.043999032,0.0666533,0.106685702,0.058140874,0.042745511,-0.007285294,-0.004926098,-0.016582922,-0.002256698,0.074015739,-0.004426815,0.043009628,-0.01608618,0.252210366,0.252210366,0.10412527,0.179783052,0.179783052,0.077833853,0.205367876,0.205367876,0.102095846,0.187763539,0.187763539,0.073246643,0.049977417,0.177348695,0.081429078,0.081429077,0.164608024,0.164545263,-0.024556039,-0.05972486,-0.059724859,0.11626983,0.148459398,0.157805774,0.055769972,0.037524394,0.057138353,0.053905886,0.012100912,0.003841959,0.009673412,0.004698994,0.080602482,0.07258728,0.083670192,0.200943358,-0.027307417,-0.027307417,-0.007511754,0.033758289,-0.026020294,-0.0157705,0.01421116,0.036251735,-0.003755659,0.225758914,0.049556589,0.01063619,0.082086502,-0.022832688,0.025407504,-0.152449575,-0.176411135,-0.157561637,-0.122022951,0.08087217
AC,park_count,,,,,,0.191059313,0.191059313,0.191059313,-0.247158707,-0.010885798,0.011655492,-0.005409456,-0.085297483,-0.120877239,0.232434908,0.263495201,-0.265348538,0.134145512,0.076927669,-0.052510667,-0.05251043,-0.052510667,-0.068351317,0.082400347,0.130930185,0.129367104,1,0.207540409,0.027643347,0.07037487,0.195645502,-0.105164319,0.660152521,0.506369388,0.098064001,0.08077976,0.08077976,0.021331243,0.465027799,0.147097254,0.071560329,0.508979793,0.088105146,0.19662212,0.135597522,-0.018379838,0.092904411,0.078630951,0.095112149,0.253815759,-0.152915087,-0.025416377,0.137647899,-0.158197616,-0.153424522,-0.15167323,-0.06173339,-0.156471239,-0.079426244,-0.036222769,0.000845285,-0.089160009,-0.061022446,0.011048778,-0.103573568,-0.059266923,0.248478993,0.248478993,0.148090266,0.126918056,0.126918056,0.09338059,0.095647014,0.095647014,-0.121016152,0.191866133,0.191866133,-0.095546942,0.191519846,0.353622773,0.285031663,0.285031662,0.263495201,0.471358794,-0.182528293,-0.244646242,-0.244646242,-0.021920946,-0.054408132,0.484077387,0.127312935,0.018091781,0.12107819,0.281849048,0.192901295,0.027282492,0.010227826,0.026476227,0.325011613,0.32258622,0.324110237,0.448314041,-0.128426773,-0.128426756,0.110298031,0.27551631,-0.303879831,-0.092972965,0.122190271,-0.145428384,0.065514564,-0.139068949,-0.055245538,-0.036043066,-0.150319416,-0.092313684,-0.051082262,-0.114010447,0.03121201,0.076820308,0.001017334,-0.105014458
AD,elem_sch_p,,,,,,0.083909108,0.083909108,0.083909108,-0.096553334,-0.077746082,-0.058493781,-0.090962061,-0.107216485,-0.09571698,0.179576379,0.218086163,-0.080397783,0.027005882,0.02949715,-0.062811296,-0.062811043,-0.062811294,-0.065644971,0.072367732,0.29308682,0.288440924,0.207540409,1,0.045661146,-0.024639555,0.082940461,-0.064823724,0.235991261,0.202044326,0.059344324,0.016471273,0.016471273,-0.018280714,0.208260047,0.117203789,-0.030823142,0.174608509,0.057095811,0.097191286,0.362620547,-0.01746425,0.054993146,0.020788426,0.033033788,0.081264299,0.001630453,-0.058242054,0.01148467,-0.055414687,-0.0591372,0.270469412,-0.050651492,-0.060918341,-0.04999697,-0.025117765,-0.0183839,0.044620668,-0.01963635,-0.073854982,0.025242965,-0.027858975,0.157960085,0.157960085,0.005179647,0.051111113,0.051111113,-0.029672689,0.049582356,0.049582356,-0.008738938,0.007840612,0.007840612,-0.021322096,0.08388874,0.209582187,0.037664463,0.037664463,0.218086163,0.237538557,-0.072758447,-0.132454365,-0.132454365,0.014651469,0.003722299,0.252778495,-0.013175269,-0.011991401,-0.013931568,0.111213254,0.048960833,-0.0442534,-0.024523025,-0.043880618,0.140206145,0.13971372,0.147060871,0.236097409,0.007266264,0.007266273,0.053430759,0.067089045,-0.08474009,-0.05608471,0.025786088,-0.055289405,-0.020722833,-0.004449711,-0.057436289,-0.060125493,0.210985833,-0.027366902,0.097981574,-0.012877965,-0.001066544,-0.006843752,-0.004082773,0.006601619
AE,bus_stop_p,,,,,,-0.080085628,-0.080085628,-0.080085628,0.155718042,0.172128461,0.264689596,0.142214073,0.251493464,0.235691112,0.126957994,0.130885722,0.107264048,0.220364432,0.220682953,0.19228924,0.192289309,0.192289239,0.178138082,0.034691386,0.157878066,0.173712628,0.027643347,0.045661146,1,0.09339017,0.448153392,0.515300485,0.053532609,-0.010899277,-0.088744868,-0.094002982,-0.094002982,0.057343509,0.130477255,0.249014409,0.092177784,0.138521147,0.234820858,0.243501574,0.168722861,0.187658853,0.237948745,0.241323618,0.073156278,0.099302337,0.208885602,0.0712589,0.079075528,0.21651819,0.239382592,0.108291001,0.18598469,0.218956066,0.231094323,0.03839759,0.055011945,0.167324595,0.123910537,-0.016222636,0.192323563,0.102156946,0.304852471,0.304852471,0.184889218,0.302782094,0.302782094,0.213422433,0.340097932,0.340097932,0.243044904,0.282651106,0.282651106,0.183425454,-0.080252219,0.146200173,0.075778474,0.075778475,0.130885722,0.127225227,0.144591886,0.093874966,0.093874965,0.27516492,0.329077289,-0.022365032,0.130209156,0.013329523,0.123115994,-0.087804712,-0.102449847,0.114020621,0.03920856,0.110233903,-0.037046253,-0.04165352,-0.071783602,0.130653657,0.095357908,0.095357864,-0.109334957,-0.055606443,0.103828608,0.200900001,0.068248926,0.194328547,0.065845181,0.180126425,0.178388321,0.058785893,0.106708146,0.170465452,0.122020934,-0.302621926,-0.336895498,-0.325571168,-0.179814877,0.214494439
AF,lrt_cr_stp,,,,,,-0.011550773,-0.011550772,-0.011550773,-0.033885081,0.063784437,0.231996611,0.255624756,0.176590316,0.085157385,0.026553849,0.023830644,0.00573822,0.235012641,0.195108641,0.107975769,0.10797565,0.107975766,0.035790137,0.032190581,-0.003598562,-0.007185966,0.07037487,-0.024639555,0.09339017,1,0.201382904,0.082545179,0.045900372,0.02638029,-0.023582058,-0.020534041,-0.020534042,0.049301335,0.081236869,0.066759589,0.085107062,0.056549621,0.128191802,0.13390341,-0.037568166,0.113012935,0.126224477,0.213785807,0.121762608,0.133021525,-0.013075456,0.018992948,0.008687384,0.051402039,0.058191478,-0.070762707,0.079890163,0.040271728,0.141558931,0.106937897,0.058996437,-0.02976757,0.080114059,0.077940048,0.031630799,0.025775188,0.2460445,0.2460445,0.2186293,0.318728242,0.318728242,0.324930472,0.321679883,0.321679883,0.022647763,0.240553715,0.240553715,-0.020618578,-0.011575896,0.145639519,0.160609407,0.160609405,0.023830644,0.073770443,-0.015528287,-0.07818077,-0.07818077,0.205585186,0.180178841,-0.018587024,0.315904593,0.258388845,0.33000388,0.004632877,0.038989869,0.272527418,0.264625255,0.283623442,0.021976504,0.007205022,0.009627185,0.062312916,-0.043054832,-0.043054883,-0.026064266,-0.010851098,0.013611363,0.13681969,-0.000546063,0.040167704,0.122924808,-0.015019808,0.084824727,0.012870358,-0.066052345,0.070589072,-0.016606499,-0.321563218,-0.201958939,-0.135914495,-0.063807219,0.052697122
AG,bus_stp_ct,,,,,,0.165692279,0.165692279,0.165692279,-0.055257003,0.078805277,0.291673852,0.130262865,0.152150657,0.096096378,0.32417509,0.47206407,-0.023238901,0.565805875,0.416770532,0.12547503,0.125474966,0.125475027,0.07752886,0.07761916,0.1765049,0.242607099,0.195645502,0.082940461,0.448153392,0.201382904,1,0.327052884,0.148093797,0.099428494,-0.026311031,-0.038291108,-0.038291108,0.103263587,0.345674861,0.259637625,0.06743936,0.283025838,0.255177356,0.287602132,0.080224143,0.160840552,0.25569521,0.204175961,0.296956479,0.211400952,0.033274264,0.013162589,0.015321453,0.054730486,0.067888005,-0.054476657,0.098549919,0.049316891,0.085619882,0.079376922,0.028183634,0.003031612,0.062925039,0.037163717,0.033852635,0.035756524,0.421901422,0.421901422,0.24460425,0.403056679,0.403056679,0.286312485,0.472173181,0.472173181,0.081660465,0.474072325,0.474072325,0.054851456,0.165986131,0.308415545,0.557717174,0.557717176,0.47206407,0.452788147,-0.061781117,-0.105257993,-0.105257993,0.238936217,0.272662174,0.121797321,0.299646918,0.065378326,0.288130093,0.008312752,0.014398959,0.16171577,0.076846403,0.158848606,0.40031032,0.376370948,0.104699143,0.316845488,-0.051010099,-0.051010157,-0.043575391,0.14795848,-0.047990576,0.071157307,0.029833439,0.038091471,0.049808135,0.025913825,0.088631064,0.012498772,-0.041550242,0.028227679,-0.02233866,-0.351688364,-0.288263112,-0.239099572,-0.123311634,0.047640297
AH,bus_sp_den,,,,,,-0.080589926,-0.080589926,-0.080589926,0.435208849,0.350325459,0.317805045,0.498881802,0.547091688,0.471792695,-0.073973383,-0.088706321,0.15754536,0.156095301,0.216414945,0.429437527,0.429437476,0.429437527,0.422233224,0.058414048,0.034978271,0.066887285,-0.105164319,-0.064823724,0.515300485,0.082545179,0.327052884,1,-0.105338167,-0.135147079,-0.081905428,-0.072043762,-0.072043762,0.029776545,-0.063086582,0.179288386,0.177013664,0.063518423,0.199155885,0.155158238,0.108508266,0.332536419,0.196969039,0.26049566,0.014154661,0.120159066,0.331559067,0.228456604,0.211720455,0.371190546,0.36675578,0.222438843,0.38589128,0.358867987,0.361651169,0.031439948,0.215998292,0.159386164,0.240670679,0.167516529,0.237697458,0.176393474,0.188228947,0.188228947,0.188964594,0.321952225,0.321952225,0.324166979,0.41464791,0.41464791,0.413537683,0.255550868,0.255550868,0.324272982,-0.080753432,-0.144657052,-0.045511332,-0.045511332,-0.088706321,-0.133448764,0.384129189,0.383664876,0.383664876,0.281284117,0.332871426,-0.253385574,0.295213099,0.140809809,0.29444805,-0.119205402,-0.119222947,0.371665649,0.209223499,0.368919665,-0.138696079,-0.13863473,-0.171062046,-0.107899028,0.259924196,0.259924187,-0.092090931,-0.154662846,0.171134711,0.340061709,0.174739691,0.318088186,0.150670767,0.274588562,0.368930082,0.209903736,0.210615547,0.374162001,0.328817336,-0.339111422,-0.344495887,-0.321105324,-0.250487317,0.432625776
AI,park_prese,,,,,,0.111242087,0.111242087,0.111242087,-0.213292619,-0.060393851,0.000840248,-0.046204408,-0.107440158,-0.122254635,0.186559783,0.201930404,-0.170830102,0.091659442,0.080446973,-0.058182266,-0.058182105,-0.058182265,-0.06837859,0.107164538,0.153169718,0.157725108,0.660152521,0.235991261,0.053532609,0.045900372,0.148093797,-0.105338167,1,0.764933737,0.063912351,0.05677438,0.05677438,0.022061324,0.243894907,0.091221658,0.031013553,0.328242504,0.064630986,0.095239676,0.056218002,-0.010397075,0.068983605,0.022590043,0.07212875,0.113478991,-0.125475748,-0.028047102,0.219986713,-0.141022957,-0.151171994,-0.12280895,-0.06174386,-0.137415512,-0.08966058,-0.00263166,-0.010569909,-0.091118981,-0.05089563,-0.009620791,-0.078714099,-0.07977999,0.175765665,0.175765665,0.078149748,0.097432182,0.097432182,0.054074819,0.065802934,0.065802934,-0.107648673,0.132258266,0.132258266,-0.090856455,0.111777663,0.335007661,0.154174454,0.154174454,0.201930404,0.290312222,-0.160491844,-0.242154364,-0.242154364,0.002259944,-0.001905926,0.288118392,0.050235813,0.003852446,0.047320516,0.160748375,0.14393632,0.000226156,0.005744738,0.000886743,0.183147757,0.181437667,0.206300819,0.269394893,-0.079424329,-0.079424282,0.086424923,0.165506924,-0.18729875,-0.092718522,0.192907408,-0.12809589,0.045653693,-0.100479222,-0.049446693,-0.03631619,-0.116724323,-0.080196113,0.00262921,-0.088134183,0.012746455,0.03560609,0.000946375,-0.068592016
AJ,park_inter,,,,,,0.115180869,0.115180869,0.115180869,-0.239871999,-0.058028187,-0.068289721,-0.061747156,-0.142937319,-0.153323763,0.171218245,0.172639177,-0.19205187,0.066189383,0.043067233,-0.068794841,-0.068794681,-0.068794839,-0.093466409,0.080030798,0.108805868,0.119724755,0.506369388,0.202044326,-0.010899277,0.02638029,0.099428494,-0.135147079,0.764933737,1,0.132284112,0.11479997,0.11479997,0.010002351,0.210605518,0.039976401,0.007921529,0.307313472,0.027068942,0.066854792,0.029312241,-0.039825402,0.031646052,-0.006186995,0.062807244,0.10012882,-0.174751229,-0.042488299,0.237549938,-0.180151261,-0.170171814,-0.156102508,-0.097885859,-0.175087958,-0.136214826,-0.011712885,-0.013611236,-0.129045704,-0.077493073,-0.039011857,-0.141739689,-0.136452133,0.130552844,0.130552844,0.052379507,0.055868843,0.055868843,0.023671797,0.012762443,0.012762443,-0.146702361,0.09916475,0.09916475,-0.09461367,0.115296791,0.294274035,0.154719099,0.154719099,0.172639177,0.243180177,-0.212426057,-0.249500234,-0.249500234,-0.045784991,-0.072857919,0.263305086,0.042077702,-0.004760163,0.038529628,0.158527284,0.165577748,0.001071034,-0.007041487,0.000162045,0.18322457,0.181504527,0.214563351,0.213697143,-0.116381887,-0.116381859,0.09933508,0.201890186,-0.212842182,-0.139920723,0.222446695,-0.161408422,0.060637303,-0.142440913,-0.08624617,-0.050591976,-0.139782718,-0.118835799,-0.017481119,-0.036415785,0.067037097,0.088769499,0.030988605,-0.104819395
AK,p_acreage,,,,,,0.533916635,0.533916634,0.533916635,-0.190689841,-0.131115662,-0.091071851,-0.087137468,-0.167115159,-0.17471541,0.025841148,0.027395898,-0.498247674,-0.021674572,0.035833763,-0.04398024,-0.043980273,-0.043980239,-0.049869456,0.127697333,0.010393358,0.017118313,0.098064001,0.059344324,-0.088744868,-0.023582058,-0.026311031,-0.081905428,0.063912351,0.132284112,1,0.858177697,0.858177697,-0.011744268,0.029764281,-0.114980099,-0.038251766,-0.099040427,-0.107888606,-0.112943244,-0.093990289,-0.047859444,-0.109261053,-0.091575272,-0.020261594,-0.090258899,-0.185551777,-0.049871288,-0.176882637,-0.175713298,-0.203141995,-0.134753484,-0.058146766,-0.179854352,-0.126622426,-0.025689706,-0.123979834,-0.060110714,-0.051625384,0.069149318,-0.008894064,-0.014016186,-0.06405286,-0.06405286,-0.053068806,-0.014775209,-0.014775209,-0.020872979,-0.054682327,-0.054682327,-0.050868945,-0.040680096,-0.040680096,-0.016787171,0.534233942,0.055222894,0.110370241,0.110370241,0.027395898,0.040253866,-0.159218671,-0.145723577,-0.145723578,-0.143782285,-0.174640256,0.230811863,-0.02727071,-0.011421646,-0.026980395,0.462100594,0.539593895,-0.024785186,-0.010238179,-0.024164245,0.447764064,0.456920037,0.615292547,-0.096475132,-0.255446228,-0.255446227,0.538214694,0.161035977,-0.453128088,-0.117106134,-0.153554545,-0.167948179,-0.05918128,-0.16166555,-0.054717268,-0.040711049,-0.120801409,-0.225816272,-0.249563334,-0.034013411,0.05146964,0.093746233,0.006682984,-0.19935367
AL,pk_acr_den,,,,,,0.481672251,0.48167225,0.481672251,-0.166212845,-0.120236406,-0.081557641,-0.075175939,-0.148973771,-0.154965533,-0.026220452,-0.019750895,-0.433785954,-0.020988448,0.019829695,-0.038973437,-0.038973461,-0.038973436,-0.043654941,0.101048552,-0.011651989,-0.004386702,0.08077976,0.016471273,-0.094002982,-0.020534041,-0.038291108,-0.072043762,0.05677438,0.11479997,0.858177697,1,1,-0.010206853,-0.011504078,-0.105919044,-0.036066267,-0.087240574,-0.098504352,-0.10301726,-0.088865158,-0.041355326,-0.099685386,-0.079287003,-0.02159255,-0.078083634,-0.166398985,-0.0449672,-0.147673442,-0.15619267,-0.180254787,-0.121051923,-0.049877989,-0.159670552,-0.109284183,-0.018734373,-0.106047735,-0.064082403,-0.044625682,0.081836961,-0.016010943,-0.004139349,-0.069517111,-0.069517111,-0.045676293,-0.02424406,-0.02424406,-0.010134621,-0.054369654,-0.054369654,-0.049837726,-0.036217243,-0.036217243,-0.016047757,0.481477688,0.03006627,0.125438507,0.125438507,-0.019750895,-0.001410681,-0.13819752,-0.127283118,-0.127283119,-0.124881381,-0.151920422,0.15503238,-0.024688364,-0.009906945,-0.024365547,0.39827049,0.559974039,-0.021361219,-0.008864191,-0.020830818,0.347737243,0.354963562,0.490304837,-0.089547853,-0.222276421,-0.22227642,0.548127681,0.095888656,-0.394344314,-0.100982249,-0.121720444,-0.145368701,-0.050608556,-0.142872091,-0.047295732,-0.039454673,-0.104396122,-0.195272447,-0.215611966,-0.060123589,0.047164635,0.082908632,0.006095481,-0.171205787
