col,var,stfid,fipsstco,tract,group,ct_bg_id,area_sqft,area_sqmi,area_acres,int_densit,rfa,mix_fl_3,nrd_06_upd,wlk_ind_06,walk_index,num_hous_h,tot_pop,urban_bg,fast_fd_ct,grocery_ct,fast_f_den,ff_dens_ac,ff_den_100,grocer_den,library_p,child_care,chld_cr_ct,park_count,elem_sch_p,bus_stop_p,lrt_cr_stp,bus_stp_ct,bus_sp_den,park_prese,park_inter,p_acreage,pk_acr_den,pk_den1000,hospital_p,du_tot2010,du_res_day,du_res_lib,du_res_par,du_res_gro,du_res_fas,du_res_ele,du_health,du_heafood,du_hou_tsa,du_pollu,du_hou_bik,per_du_day,per_du_lib,per_du_par,per_du_gro,per_du_ff,per_du_ele,per_du_hea,per_duhfoo,per_du_tsa,per_du_pol,per_dubik2,ct_minori,ct_low_inc,ct_low_mob,ct_low_com,ct_concern,ct_ma_misc,ct_mali_yr,crim_mapop,ct_violnt5,ct_vio_yr2,crm_rt_vio,ped_inv_ct,ped_dayyr2,ped_c_rate,cyc_inv_ct,cyc_dayyr2,cyc_c_rate,daypoparea,daypop_per,day_pop_bg,daypop_1x3,totpop1000,res_pop_10,pop_den_10,pop_den_mi,pop_den_ac,arter_den,traf_volum,tot_par_ct,lot_sur_ct,lot_str_ct,pk_lot_ct,vacnt_ct,per_vacant,per_lot_su,per_lot_st,per_pk_lot,road_allft,rd_walk_ft,rd_walk_10,sidewk_ft2,sidewk_rdn,side_c_per,side_none,side_parti,side_atlas,cn_transit,cn_parks,cn_he_food,cn_trails,cn_daycare,cn_health,cn_library,cn_elem_sc,cs_tis,cs_ypas,cs_pai,cs_ped_saf,cs_cyc_saf,cs_tsfy,nu_cn_indi
L,rfa,,,,,,-0.093370946,-0.093370947,-0.093370946,0.534659872,1,0.429740766,0.395646894,0.804047277,0.805058088,-0.009483123,-0.092622004,0.196749924,0.070193619,0.127071391,0.22144941,0.221449525,0.221449409,0.267835354,0.041105443,0.030436362,0.025179987,-0.010885798,-0.077746082,0.172128461,0.063784437,0.078805277,0.350325459,-0.060393851,-0.058028187,-0.131115662,-0.120236406,-0.120236406,0.027180256,-0.008194667,0.260850138,0.288801692,0.150953232,0.317554756,0.271021949,0.124192075,0.288103255,0.309443212,0.312227121,0.044669621,0.22525473,0.395954781,0.322447313,0.266955842,0.496482601,0.496899607,0.162888944,0.308765947,0.480900506,0.419402017,0.052533856,0.317538432,0.067495264,0.203445159,0.100510806,0.080204051,0.096112541,0.158144083,0.158144083,0.199806816,0.17692748,0.17692748,0.214054749,0.242137853,0.242137853,0.170029662,0.235440775,0.235440775,0.169791485,-0.093547015,-0.104182843,-0.005052779,-0.005052779,-0.092622004,-0.098974426,0.36962613,0.314426213,0.314426214,0.136588345,0.2194919,-0.218787387,0.306101576,0.094625257,0.298192362,-0.140200418,-0.17579004,0.258841894,0.088279824,0.250159521,-0.13499525,-0.137284904,-0.198135668,-0.076236834,0.234788447,0.234788448,-0.143936928,-0.174721624,0.211752469,0.399799155,0.210986029,0.41099794,0.212110706,0.328107758,0.277340149,0.271107986,0.157855204,0.434259628,0.354948183,-0.202875201,-0.130966335,-0.092512857,-0.06022409,0.489288729
M,mix_fl_3,,,,,,-0.051170932,-0.051170932,-0.051170932,0.192457467,0.429740766,1,0.380576504,0.679385012,0.611746519,0.066441338,-0.008754124,0.165237651,0.405836058,0.362705381,0.331056618,0.331056485,0.331056617,0.252981928,0.130732363,0.123165394,0.144427728,0.011655492,-0.058493781,0.264689596,0.231996611,0.291673852,0.317805045,0.000840248,-0.068289721,-0.091071851,-0.081557641,-0.081557641,0.064025898,0.062621206,0.292229069,0.258785192,0.134435783,0.386744083,0.375573827,0.085105461,0.334102161,0.385061796,0.309548698,0.169831449,0.241743606,0.316514932,0.261533253,0.141242039,0.456599842,0.492316971,0.055951803,0.342427603,0.449195166,0.321858958,0.188258393,0.261086814,0.059852031,0.216140755,0.120023289,0.167714995,0.095684384,0.359755959,0.359755959,0.270914568,0.407756323,0.407756323,0.361860712,0.472077187,0.472077187,0.218072555,0.399244559,0.399244559,0.135295168,-0.051488882,0.049653301,0.136084555,0.136084555,-0.008754124,-0.005963013,0.187875667,0.117884824,0.117884825,0.371465996,0.508437814,-0.217783291,0.328018309,0.145901565,0.325706283,-0.08298055,-0.044676039,0.284660951,0.167552318,0.283419326,-0.07587364,-0.097586204,-0.116474348,-0.003771086,0.060909621,0.06090961,-0.088419672,-0.146577689,0.161038053,0.300215018,0.110867027,0.4092913,0.183323686,0.275064052,0.321353938,0.222709526,0.047497429,0.287972308,0.187767134,-0.490147215,-0.464356777,-0.334884029,-0.226250147,0.396578931
N,nrd_06_upd,,,,,,-0.076106,-0.076106,-0.076106,0.36953196,0.395646894,0.380576504,1,0.731552356,0.467838024,0.011199805,-0.071456232,0.143290709,0.18046902,0.171020067,0.462748374,0.462748053,0.462748373,0.348776393,0.015088855,-0.030137382,-0.025703827,-0.005409456,-0.090962061,0.142214073,0.255624756,0.130262865,0.498881802,-0.046204408,-0.061747156,-0.087137468,-0.075175939,-0.075175939,0.000734798,0.104780936,0.320573993,0.3694731,0.260694468,0.361931565,0.329114751,0.102312114,0.40753793,0.359571828,0.418054349,0.124096905,0.328601284,0.266436579,0.254571882,0.249709872,0.324049123,0.323815603,0.09670226,0.304646978,0.305424933,0.337705088,0.083413642,0.273626776,0.064132976,0.174352916,0.199108746,0.147881127,0.1509592,0.240257877,0.240257877,0.243716037,0.504736446,0.504736446,0.557412994,0.466137341,0.466137341,0.164570542,0.263329799,0.263329799,0.089934379,-0.076254306,-0.04676488,0.061284024,0.061284023,-0.071456232,-0.031779175,0.458415286,0.340841888,0.340841889,0.346740697,0.362096055,-0.223731594,0.582033827,0.402923107,0.597880619,-0.110955688,-0.111144993,0.701022894,0.567112436,0.71617579,-0.12233963,-0.12568292,-0.156510934,-0.053435956,0.265210471,0.265210481,-0.096129281,-0.125847408,0.150476801,0.32805395,0.19451833,0.266506081,0.234904411,0.221324137,0.289369461,0.216671926,0.094792456,0.391587532,0.319818908,-0.469163002,-0.272821618,-0.233166721,-0.114122581,0.386228603
O,wlk_ind_06,,,,,,-0.133093409,-0.133093409,-0.133093409,0.71460511,0.804047277,0.679385012,0.731552356,1,0.913367239,-0.026897061,-0.117252261,0.28232391,0.209061158,0.249805942,0.436022307,0.436022203,0.436022306,0.422753696,0.073469288,0.03538678,0.042588385,-0.085297483,-0.107216485,0.251493464,0.176590316,0.152150657,0.547091688,-0.107440158,-0.142937319,-0.167115159,-0.148973771,-0.148973771,0.024942968,-0.011010903,0.365481381,0.386977754,0.202190299,0.433011739,0.377436745,0.183662375,0.446419806,0.427812972,0.457074711,0.087534584,0.310122721,0.514376123,0.398839108,0.350766742,0.62306279,0.627068504,0.267327799,0.461915082,0.608492001,0.553413496,0.107748898,0.405447889,0.176200434,0.32598538,0.180467409,0.242018018,0.205052997,0.290516754,0.290516754,0.292431987,0.416483614,0.416483614,0.439871507,0.472559658,0.472559658,0.300017375,0.340204147,0.340204147,0.222840996,-0.133423459,-0.124935205,0.002835235,0.002835234,-0.117252261,-0.133653639,0.568172051,0.474841244,0.474841244,0.32417804,0.429524755,-0.347360269,0.461636674,0.243884329,0.463722038,-0.194134432,-0.210188579,0.471231576,0.306077437,0.472560099,-0.2066699,-0.214570437,-0.27419363,-0.10948237,0.335583995,0.335583984,-0.17894831,-0.258605865,0.297989247,0.523542362,0.278895212,0.527256694,0.262648044,0.432172307,0.424303288,0.338840452,0.247538065,0.57842237,0.491157524,-0.43088799,-0.32227783,-0.253629914,-0.159109318,0.654133688
P,walk_index,,,,,,-0.14060525,-0.14060525,-0.14060525,0.793346073,0.805058088,0.611746519,0.467838024,0.913367239,1,-0.074943904,-0.119104041,0.299245788,0.139192456,0.217236936,0.343098418,0.343098501,0.343098418,0.419140109,0.062177042,0.035965006,0.047646261,-0.120877239,-0.09571698,0.235691112,0.085157385,0.096096378,0.471792695,-0.122254635,-0.153323763,-0.17471541,-0.154965533,-0.154965533,0.020496498,-0.103341121,0.291754379,0.304367548,0.123022882,0.34903078,0.281322146,0.201619843,0.380001019,0.344148461,0.37319899,0.027403078,0.218498328,0.552579594,0.390697439,0.371298779,0.655054877,0.644180686,0.35999098,0.480692674,0.647967887,0.58021656,0.10445163,0.406030787,0.262029015,0.411661759,0.167011805,0.304159797,0.229531496,0.229951954,0.229951954,0.235621829,0.28264442,0.28264442,0.288849311,0.364456403,0.364456403,0.334746007,0.275176998,0.275176998,0.245303601,-0.140926474,-0.152457465,-0.037166674,-0.037166674,-0.119104041,-0.169484869,0.597363603,0.533606981,0.533606981,0.193010411,0.312666255,-0.354310397,0.283308589,0.102631259,0.278073038,-0.205243709,-0.225753763,0.25872014,0.104368356,0.251943259,-0.219838898,-0.226121269,-0.295634543,-0.145571631,0.347846311,0.347846282,-0.187483392,-0.275619382,0.316563042,0.542697877,0.297186438,0.557736697,0.223150383,0.466360435,0.435219907,0.332544134,0.324217212,0.596134123,0.536734989,-0.27429124,-0.221412938,-0.153215089,-0.143860742,0.693352849
Q,num_hous_h,,,,,,0.146140379,0.14614038,0.146140379,-0.140853635,-0.009483123,0.066441338,0.011199805,-0.026897061,-0.074943904,1,0.820318284,-0.035408814,0.148801324,0.107862734,-0.017569823,-0.017569753,-0.017569824,-0.046097179,0.061427046,0.179242741,0.150051371,0.232434908,0.179576379,0.126957994,0.026553849,0.32417509,-0.073973383,0.186559783,0.171218245,0.025841148,-0.026220452,-0.026220452,0.017408192,0.807653102,0.56453902,0.176689678,0.539447321,0.573106877,0.640768743,0.416389856,0.11745903,0.580445075,0.295240915,0.370675807,0.423298895,-0.068567779,-0.041398467,-0.084952994,-0.056471739,-0.037124166,-0.102497561,-0.047517541,-0.053047133,-0.093760626,0.02348973,-0.018971558,-0.12548407,-0.105460829,-0.053130601,-0.104572935,-0.138389319,0.312773149,0.312773149,-0.095510831,0.177404697,0.177404697,-0.079067546,0.168898662,0.168898662,-0.077466347,0.199978855,0.199978855,-0.055022687,0.146594027,0.464742204,0.24527775,0.245277751,0.820318284,0.648498955,-0.022999514,-0.012091102,-0.012091102,0.126998394,0.120497598,0.407330676,0.013202452,0.051580247,0.019440002,0.090853894,0.00407726,-0.034251735,0.000894754,-0.031620203,0.345779538,0.341379397,0.191020023,0.403118183,-0.108544373,-0.108544364,-0.02882167,0.137318133,-0.075352098,-0.091457117,-0.077842004,-0.053003712,0.001247623,-0.068548632,-0.036267557,-0.050759199,-0.090466825,-0.098748867,-0.113745699,-0.025340513,-0.124351344,-0.093853789,-0.045426558,-0.101933165
R,tot_pop,,,,,,0.259833318,0.259833319,0.259833317,-0.170296097,-0.092622004,-0.008754124,-0.071456232,-0.117252261,-0.119104041,0.820318284,1,-0.054914888,0.109360377,0.072483029,-0.050907322,-0.050907141,-0.050907325,-0.049797855,0.023402594,0.181958435,0.164608024,0.263495201,0.218086163,0.130885722,0.023830644,0.47206407,-0.088706321,0.201930404,0.172639177,0.027395898,-0.019750895,-0.019750895,0.041103888,0.683146481,0.408216737,0.069028441,0.468934972,0.383149149,0.433054551,0.31331047,0.067777238,0.387695868,0.157631803,0.385813546,0.308167116,-0.078630835,-0.082913255,-0.060387865,-0.086771531,-0.089747726,-0.052946459,-0.03163944,-0.083988566,-0.084692975,0.033416504,-0.068133683,0.000267113,0.010452742,-0.078002013,0.032872117,-0.063892512,0.260752182,0.260752182,-0.112568307,0.153988603,0.153988603,-0.097165755,0.152505854,0.152505854,-0.051210302,0.147879616,0.147879616,-0.058872998,0.260327989,0.468482174,0.470124915,0.470124917,1,0.767764994,-0.037975337,-0.005188303,-0.005188303,0.058219631,0.042331373,0.371118957,-0.039597212,0.0125328,-0.035142911,0.085014925,0.026491931,-0.064584078,-0.018478953,-0.061999477,0.542186061,0.533085049,0.196331317,0.355372249,-0.104501124,-0.104501139,-0.017744843,0.181061351,-0.096821382,-0.090012792,-0.040971672,-0.081168624,-0.050158137,-0.08054763,-0.022691014,-0.078857637,-0.050046259,-0.114892155,-0.103284951,0.028431079,-0.068582908,-0.048744776,-0.046920221,-0.107887041
S,urban_bg,,,,,,-0.38959505,-0.389595049,-0.38959505,0.334544703,0.196749924,0.165237651,0.143290709,0.28232391,0.299245788,-0.035408814,-0.054914888,1,-0.004830855,-0.027823509,0.088272162,0.088272153,0.088272162,0.097259277,-0.054762214,-0.025688162,-0.013247661,-0.265348538,-0.080397783,0.107264048,0.00573822,-0.023238901,0.15754536,-0.170830102,-0.19205187,-0.498247674,-0.433785954,-0.433785954,0.022444447,-0.189613784,0.127908738,0.071480644,0.006364214,0.146795724,0.119243721,0.107387855,0.09211426,0.144722419,0.132641398,0.012431473,0.070930619,0.319700065,0.111193305,0.236032352,0.311833986,0.366795979,0.24453284,0.11058983,0.313223345,0.22106056,0.061437603,0.190084851,0.095844525,0.084757371,-0.036564256,0.067004226,0.070786069,0.028751701,0.028751701,0.043993665,0.025978364,0.025978364,0.039830251,0.065749488,0.065749488,0.11159506,0.025608328,0.025608328,0.0719066,-0.390197681,-0.20091032,-0.135304023,-0.135304022,-0.054914888,-0.225428188,0.28832244,0.275986142,0.275986142,0.197354684,0.254103281,-0.482946535,-0.00406779,-0.004546353,-0.004418199,-0.563760355,-0.620285096,0.04285795,0.017510372,0.041761342,-0.479301451,-0.491038448,-0.658956135,-0.085358748,0.422448124,0.422448109,-0.563434822,-0.598998306,0.899155906,0.210815295,0.228006779,0.297280773,0.10904134,0.298405,0.098741332,0.095923796,0.226829512,0.371973892,0.39473795,0.011079938,-0.063820831,-0.147971174,-0.012571576,0.34902771
T,fast_fd_ct,,,,,,0.004578037,0.004578037,0.004578037,-0.043222326,0.070193619,0.405836058,0.18046902,0.209061158,0.139192456,0.148801324,0.109360377,-0.004830855,1,0.666772936,0.479725856,0.479725872,0.479725855,0.22904606,0.146337602,0.15087938,0.22229621,0.134145512,0.027005882,0.220364432,0.235012641,0.565805875,0.156095301,0.091659442,0.066189383,-0.021674572,-0.020988448,-0.020988449,0.062878781,0.200665403,0.200910051,0.122203709,0.194248492,0.225045306,0.287827783,0.07916336,0.13507759,0.224938541,0.183870199,0.120410628,0.183195085,0.055560513,0.059587786,0.034016161,0.108654559,0.160782574,-0.052892168,0.092599661,0.10320038,0.091488081,0.046827729,0.076662611,-0.016044465,0.04913673,0.055240107,0.019593054,0.031436013,0.53125213,0.53125213,0.3547433,0.581597298,0.581597298,0.47401051,0.582094571,0.582094571,0.096309647,0.57075321,0.57075321,0.066674954,0.004792862,0.23364747,0.309425362,0.309425361,0.109360377,0.186825607,-0.014482625,-0.074359352,-0.074359352,0.28289436,0.354041911,0.098098367,0.327857703,0.128013225,0.32307914,0.019531111,0.024093806,0.159530448,0.137535155,0.163978354,0.095858946,0.068382393,0.070872477,0.343938081,0.006528916,0.006528907,-0.042392788,0.10259185,-0.029273185,0.087529083,0.03573458,0.077302392,0.114624089,0.046024253,0.097989677,0.048891922,-0.052107824,0.078152684,0.02326545,-0.495692572,-0.325267346,-0.278458316,-0.136724139,0.082846626
U,grocery_ct,,,,,,0.071241304,0.071241304,0.071241304,0.064518104,0.127071391,0.362705381,0.171020067,0.249805942,0.217236936,0.107862734,0.072483029,-0.027823509,0.666772936,1,0.37165945,0.371659511,0.37165945,0.607542378,0.157089011,0.1788773,0.221998614,0.076927669,0.02949715,0.220682953,0.195108641,0.416770532,0.216414945,0.080446973,0.043067233,0.035833763,0.019829695,0.019829695,0.027912707,0.132613092,0.205531132,0.146018488,0.15237165,0.287899843,0.229504712,0.120901701,0.193197223,0.283778987,0.211381891,0.101541538,0.15345523,0.135883901,0.11769388,0.081318221,0.254017835,0.182298174,0.0460231,0.173326464,0.244166624,0.171482703,0.073843038,0.112656206,0.066701544,0.176354367,0.080809674,0.134182907,0.083105131,0.444109507,0.444109507,0.3035028,0.517008509,0.517008509,0.413059307,0.572324747,0.572324747,0.215945464,0.507749766,0.507749766,0.147233451,0.071309094,0.170010852,0.16119379,0.161193789,0.072483029,0.108167814,0.072926334,0.030200295,0.030200296,0.218686742,0.289052044,0.066463586,0.306073786,0.100849655,0.299028569,0.079212731,0.085183448,0.1525837,0.104785578,0.153683341,0.0963814,0.081941592,0.107426716,0.175431553,-0.008704706,-0.008704729,0.018624895,0.062815058,-0.049397715,0.157087666,0.063322323,0.202109998,0.107121727,0.101103791,0.161020492,0.093795087,0.037072923,0.123278374,0.083701222,-0.433921159,-0.327919363,-0.240949014,-0.18651646,0.189300151
